time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-27 00:00:00+00:00,22,6,13,7
2026-03-28 00:00:00+00:00,17,8,8,6
2026-03-29 00:00:00+00:00,20,8,11,8
2026-03-30 00:00:00+00:00,21,9,14,9
2026-03-31 00:00:00+00:00,64,32,38,8
2026-04-01 00:00:00+00:00,27,12,24,8
2026-04-02 00:00:00+00:00,24,8,22,3
2026-04-03 00:00:00+00:00,19,6,12,9
2026-04-04 00:00:00+00:00,8,6,27,17
2026-04-05 00:00:00+00:00,18,9,9,7
2026-04-06 00:00:00+00:00,12,10,11,6
2026-04-07 00:00:00+00:00,16,8,18,7
2026-04-08 00:00:00+00:00,14,6,3,3
2026-04-09 00:00:00+00:00,29,8,13,8
