url_path,views_total,views_unique
/hcmhcs/screenTranslate,131,101
/hcmhcs/screenTranslate/releases/tag/v1.5.2,23,17
/hcmhcs/screenTranslate/releases,8,6
/hcmhcs/screenTranslate/issues/1,5,4
/hcmhcs/screenTranslate/issues,4,4
/hcmhcs/screenTranslate/fork,3,3
/hcmhcs/screenTranslate/tree/main/ScreenTranslate/App,2,2
/hcmhcs/screenTranslate/commit/06a0fbed6aca2bc4406ed97d9d4968359d451957,2,1
/hcmhcs/screenTranslate/commit/071ec30058fba186219f1d523a3b7c537a972173,2,1
/hcmhcs/screenTranslate/commits/main,2,1
