referrer,views_total,views_unique
Google,55,27
news.hada.io,22,12
github.com,12,11
screentranslate.filient.ai,6,5
Bing,6,4
chatgpt.com,3,3
DuckDuckGo,3,2
cafe.naver.com,1,1
m.cafe.naver.com,1,1
perplexity.ai,1,1
