time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-22 00:00:00+00:00,37,10,14,10
2026-06-23 00:00:00+00:00,3,2,21,11
2026-06-24 00:00:00+00:00,23,8,15,10
2026-06-25 00:00:00+00:00,48,17,9,5
2026-06-26 00:00:00+00:00,24,10,14,8
2026-06-27 00:00:00+00:00,6,5,27,14
2026-06-28 00:00:00+00:00,22,8,14,7
2026-06-29 00:00:00+00:00,14,8,19,11
2026-06-30 00:00:00+00:00,14,7,13,10
2026-07-01 00:00:00+00:00,28,9,14,12
2026-07-02 00:00:00+00:00,16,8,7,5
2026-07-03 00:00:00+00:00,19,9,15,6
2026-07-04 00:00:00+00:00,8,6,17,12
2026-07-05 00:00:00+00:00,25,11,18,9
