url_path,views_total,views_unique
/hcmhcs/screenTranslate,286,179
/hcmhcs/screenTranslate/releases/tag/v1.5.2,52,49
/hcmhcs/screenTranslate/releases,20,19
/hcmhcs/screenTranslate/tree/main/ScreenTranslate,8,7
/hcmhcs/screenTranslate/issues,6,5
/hcmhcs/screenTranslate/tree/main/ScreenTranslate/App,4,4
/hcmhcs/screenTranslate/blob/main/README.md,2,2
/hcmhcs/screenTranslate/blob/main/ScreenTranslate/App/AppOrchestrator.swift,2,2
/hcmhcs/screenTranslate/pulls,2,2
/hcmhcs/screenTranslate/tree/main/ScreenTranslate.xcodeproj,2,2
