url_path,views_total,views_unique
/hcmhcs/screenTranslate,140,103
/hcmhcs/screenTranslate/releases/tag/v1.5.2,43,31
/hcmhcs/screenTranslate/releases,15,11
/hcmhcs/screenTranslate/tree/main/ScreenTranslate,4,3
/hcmhcs/screenTranslate/commit/477c94c271e75d238da5d05942e47e2549a16cd5,2,2
/hcmhcs/screenTranslate/issues/1,2,2
/hcmhcs/screenTranslate/tree/main/ScreenTranslate/App,2,2
/hcmhcs/screenTranslate/issues,2,1
/hcmhcs/screenTranslate/blob/main/CHANGELOG.md,1,1
/hcmhcs/screenTranslate/blob/main/README.md,1,1
