referrer,views_total,views_unique
news.hada.io,82,48
github.com,20,10
screentranslate.filient.ai,20,8
cafe.naver.com,9,2
youtube.com,7,4
news.ycombinator.com,5,2
Bing,4,2
Google,2,2
DuckDuckGo,2,1
chat.duoduai.com,1,1
