referrer,views_total,views_unique
github.com,37,15
Google,17,13
screentranslate.filient.ai,6,4
chatgpt.com,6,2
Bing,5,5
news.ycombinator.com,4,2
news.hada.io,3,3
doubao.com,2,2
DuckDuckGo,1,1
copilot.microsoft.com,1,1
